item1,value,item2,t1,t2,t
5,0.7890889918006464,59,32,33,640-660 ms
5,0.8259974084875513,60,32,33,640-660 ms
6,0.8453019947291144,1,32,33,640-660 ms
6,0.7309471638788722,2,32,33,640-660 ms
6,0.7688577626408196,3,32,33,640-660 ms
6,0.8566197546468551,4,32,33,640-660 ms
6,0.8276484911645832,5,32,33,640-660 ms
6,1,6,32,33,640-660 ms
6,0.6637080864949683,7,32,33,640-660 ms
6,0.8655939959827348,8,32,33,640-660 ms
6,0.7112257018875454,9,32,33,640-660 ms
6,0.6168029401393459,10,32,33,640-660 ms
6,0.596264016249823,11,32,33,640-660 ms
6,0.6972861187065952,12,32,33,640-660 ms
6,0.7622628810274433,13,32,33,640-660 ms
6,0.7258111862571438,14,32,33,640-660 ms
6,0.7677284564764248,15,32,33,640-660 ms
6,0.6563448297293702,16,32,33,640-660 ms
6,0.7151909970003718,17,32,33,640-660 ms
6,0.767764661388928,18,32,33,640-660 ms
6,0.7454775804984681,19,32,33,640-660 ms
6,0.7555535497335333,20,32,33,640-660 ms
6,0.6228154797451522,21,32,33,640-660 ms
6,0.8466454125016953,22,32,33,640-660 ms
6,0.8062613697552394,23,32,33,640-660 ms
6,0.781699395392252,24,32,33,640-660 ms
6,0.7500360256862402,25,32,33,640-660 ms
6,0.769255836138331,26,32,33,640-660 ms
6,0.7349145111645174,27,32,33,640-660 ms
6,0.8802241379123319,28,32,33,640-660 ms
6,0.8419964586577644,29,32,33,640-660 ms
6,0.7644469398714175,30,32,33,640-660 ms
6,0.8413121289335761,31,32,33,640-660 ms
6,0.7999642451538662,32,32,33,640-660 ms
6,0.7486174165090579,33,32,33,640-660 ms
6,0.8355985781459997,34,32,33,640-660 ms
6,0.7799487683130409,35,32,33,640-660 ms
6,0.7389809488104305,36,32,33,640-660 ms
6,0.7626064563293328,37,32,33,640-660 ms
6,0.7885756775947967,38,32,33,640-660 ms
6,0.7380456909726213,39,32,33,640-660 ms
6,0.7802518758643064,40,32,33,640-660 ms
6,0.7413707018774359,41,32,33,640-660 ms
6,0.7588474037419578,42,32,33,640-660 ms
6,0.8016962413112467,43,32,33,640-660 ms
6,0.6858987529880207,44,32,33,640-660 ms
6,0.7439745048399592,45,32,33,640-660 ms
6,0.7812622491315376,46,32,33,640-660 ms
6,0.7959079781930929,47,32,33,640-660 ms
6,0.6269735273395229,48,32,33,640-660 ms
6,0.7761507313618667,49,32,33,640-660 ms
6,0.7167328440289277,50,32,33,640-660 ms
6,0.676862638407056,51,32,33,640-660 ms
6,0.6646955644605103,52,32,33,640-660 ms
6,0.7588546010249203,53,32,33,640-660 ms
6,0.6754077279959632,54,32,33,640-660 ms
6,0.7580574777798355,55,32,33,640-660 ms
6,0.7511865506493604,56,32,33,640-660 ms
6,0.7577632612800543,57,32,33,640-660 ms
6,0.626295120658433,58,32,33,640-660 ms
6,0.8112414160292378,59,32,33,640-660 ms
6,0.8194583715243322,60,32,33,640-660 ms
7,0.6955098696349269,1,32,33,640-660 ms
7,0.8447444051066616,2,32,33,640-660 ms
7,0.7487471355110831,3,32,33,640-660 ms
7,0.6703111090050448,4,32,33,640-660 ms
7,0.7191329536674897,5,32,33,640-660 ms
7,0.6637080864949683,6,32,33,640-660 ms
7,1,7,32,33,640-660 ms
7,0.6736002332920679,8,32,33,640-660 ms
7,0.7280899584279737,9,32,33,640-660 ms
7,0.727778542649665,10,32,33,640-660 ms
7,0.7179521929216398,11,32,33,640-660 ms
7,0.5263390827323454,12,32,33,640-660 ms
