time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
32,IT,6.6506628967528885,8.602229007327521,-45.163211495677736,-52.16276917958261,6.999557683904875,-54.56514877009307,-55.19095535609801,TRUE,32,NA,32
32,IT,6.6506628967528885,8.602229007327521,-45.163211495677736,-52.16276917958261,6.999557683904875,-54.56514877009307,-55.19095535609801,TRUE,NA,32,32
33,IT,6.797763001999202,10.746988843442821,-45.25382613929098,-53.03048417166933,7.77665803237835,-54.49782615492368,-55.568917627039184,TRUE,33,NA,33
33,IT,6.797763001999202,10.746988843442821,-45.25382613929098,-53.03048417166933,7.77665803237835,-54.49782615492368,-55.568917627039184,TRUE,NA,33,33
34,IT,6.716463516436204,9.033248071406126,-45.30442460086941,-52.75441306166757,7.44998846079816,-54.54765984667792,-55.321780532371235,TRUE,34,NA,34
34,IT,6.716463516436204,9.033248071406126,-45.30442460086941,-52.75441306166757,7.44998846079816,-54.54765984667792,-55.321780532371235,TRUE,NA,34,34
35,IT,6.783009536964079,9.526346391044697,-45.37030979802272,-55.4531833493119,10.082873551289183,-54.48951511591536,-55.444980693802975,TRUE,35,NA,35
35,IT,6.783009536964079,9.526346391044697,-45.37030979802272,-55.4531833493119,10.082873551289183,-54.48951511591536,-55.444980693802975,TRUE,NA,NA,35
36,IT,6.818148847306172,7.91461113662999,-45.419379253593874,-54.37783667471755,8.958457421123676,-54.58848638421173,-55.395278521907855,TRUE,36,NA,36
36,IT,6.818148847306172,7.91461113662999,-45.419379253593874,-54.37783667471755,8.958457421123676,-54.58848638421173,-55.395278521907855,TRUE,NA,36,36
37,IT,6.828396859262447,8.152393543392716,-45.42452413661299,-53.08168851530789,7.657164378694901,-54.45160491517633,-55.40766117624245,TRUE,37,NA,37
37,IT,6.828396859262447,8.152393543392716,-45.42452413661299,-53.08168851530789,7.657164378694901,-54.45160491517633,-55.40766117624245,TRUE,NA,37,37
38,IT,6.776823126191465,9.452921211074884,-45.39491400345984,-54.049604720872914,8.654690717413075,-54.52608628088741,-55.2276433016331,TRUE,38,NA,38
38,IT,6.776823126191465,9.452921211074884,-45.39491400345984,-54.049604720872914,8.654690717413075,-54.52608628088741,-55.2276433016331,TRUE,NA,38,38
39,IT,6.778030995249305,8.906762133745307,-45.35746458471972,-54.29854866683252,8.941084082112795,-54.50243850227266,-55.25071102965805,TRUE,39,NA,39
39,IT,6.778030995249305,8.906762133745307,-45.35746458471972,-54.29854866683252,8.941084082112795,-54.50243850227266,-55.25071102965805,TRUE,NA,39,39
40,IT,6.871567121300485,9.226153663457186,-45.3766134473636,-55.860255592635234,10.48364214527163,-54.49354382745906,-55.20665786418166,TRUE,40,NA,40
40,IT,6.871567121300485,9.226153663457186,-45.3766134473636,-55.860255592635234,10.48364214527163,-54.49354382745906,-55.20665786418166,TRUE,NA,NA,40
41,IT,6.920232057801322,9.128340470025888,-45.48178483149529,-55.69633719697119,10.214552365475903,-54.455232786263664,-55.12218969613398,TRUE,41,NA,41
41,IT,6.920232057801322,9.128340470025888,-45.48178483149529,-55.69633719697119,10.214552365475903,-54.455232786263664,-55.12218969613398,TRUE,NA,NA,41
42,IT,6.84144705816286,8.99769839491297,-45.37312239471097,-54.923032466291474,9.549910071580506,-54.442822588017684,-55.35383696912603,TRUE,42,NA,42
42,IT,6.84144705816286,8.99769839491297,-45.37312239471097,-54.923032466291474,9.549910071580506,-54.442822588017684,-55.35383696912603,TRUE,NA,42,42
43,IT,6.804076715571158,8.591500093998937,-45.52778836613493,-56.30811643630711,10.780328070172182,-54.47237662052701,-55.56909871066376,TRUE,43,NA,43
43,IT,6.804076715571158,8.591500093998937,-45.52778836613493,-56.30811643630711,10.780328070172182,-54.47237662052701,-55.56909871066376,TRUE,NA,NA,43
44,IT,6.875768116920265,9.765559612862607,-45.59672772222634,-55.860585962181425,10.263858239955084,-54.488538205191425,-55.29451420905511,TRUE,44,NA,44
44,IT,6.875768116920265,9.765559612862607,-45.59672772222634,-55.860585962181425,10.263858239955084,-54.488538205191425,-55.29451420905511,TRUE,NA,NA,44
45,IT,6.853848995474516,9.572466097647787,-45.60290547651586,-55.06815056962578,9.465245093109921,-54.45130696990229,-55.456436583958684,TRUE,45,NA,45
45,IT,6.853848995474516,9.572466097647787,-45.60290547651586,-55.06815056962578,9.465245093109921,-54.45130696990229,-55.456436583958684,TRUE,NA,45,45
46,IT,6.9293190702477245,9.604302831312845,-45.654743912392796,-54.5618113967735,8.907067484380704,-54.4233554004314,-55.24525853935129,TRUE,46,NA,46
46,IT,6.9293190702477245,9.604302831312845,-45.654743912392796,-54.5618113967735,8.907067484380704,-54.4233554004314,-55.24525853935129,TRUE,NA,46,46
47,IT,6.934270806234099,8.547639406048077,-45.714715839373966,-54.25095007871408,8.53623423934011,-54.439844144986445,-55.232553884672065,TRUE,47,NA,47
47,IT,6.934270806234099,8.547639406048077,-45.714715839373966,-54.25095007871408,8.53623423934011,-54.439844144986445,-55.232553884672065,TRUE,NA,47,47
48,IT,7.051590464639865,8.840398606184351,-45.82524796618273,-54.83631812895696,9.011070162774232,-54.473072023822034,-55.16938334487418,TRUE,48,NA,48
48,IT,7.051590464639865,8.840398606184351,-45.82524796618273,-54.83631812895696,9.011070162774232,-54.473072023822034,-55.16938334487418,TRUE,NA,48,48
49,IT,7.015400737535456,9.480939495147407,-45.949194959841286,-56.00562213792479,10.056427178083503,-54.44916218178453,-55.02494547584763,TRUE,49,NA,49
49,IT,7.015400737535456,9.480939495147407,-45.949194959841286,-56.00562213792479,10.056427178083503,-54.44916218178453,-55.02494547584763,TRUE,NA,NA,49
0,V1,41.605587206588666,41.605587206588666,-170.26390617830546,-170.26390617830546,0,-169.3026889310014,-169.3026889310014,NA,NA,NA,NA
1,V1,41.52328583662211,40.67064298665424,-170.36644318708582,-169.7823520043421,-0.5840911827437196,-168.88102135045696,-169.48167721117377,NA,NA,NA,NA
1,V1,41.52328583662211,40.67064298665424,-170.36644318708582,-169.7823520043421,-0.5840911827437196,-168.88102135045696,-169.48167721117377,NA,NA,NA,NA
2,V1,43.07287708313944,41.90303982129636,-172.28706721655197,-172.2813342184172,-0.0057329981347891135,-168.33257084889428,-169.03830834851956,NA,NA,NA,NA
2,V1,43.07287708313944,41.90303982129636,-172.28706721655197,-172.2813342184172,-0.0057329981347891135,-168.33257084889428,-169.03830834851956,NA,NA,NA,NA
3,V1,41.98398826391324,41.120218819709436,-170.25136764508144,-171.14603238785037,0.8946647427689243,-168.38738050860204,-169.60218212206826,NA,NA,NA,NA
3,V1,41.98398826391324,41.120218819709436,-170.25136764508144,-171.14603238785037,0.8946647427689243,-168.38738050860204,-169.60218212206826,NA,NA,NA,NA
4,V1,39.90822845532918,42.46104548416618,-167.52267980972587,-171.66031482091728,4.137635011191406,-168.08292099411213,-169.50457540761826,NA,4,NA,NA
4,V1,39.90822845532918,42.46104548416618,-167.52267980972587,-171.66031482091728,4.137635011191406,-168.08292099411213,-169.50457540761826,NA,NA,NA,NA
5,V1,35.28353619953914,42.28753315259841,-158.1020193220947,-158.68235961787022,0.5803402957755281,-168.04971783167716,-169.61335811792011,NA,5,NA,NA
5,V1,35.28353619953914,42.28753315259841,-158.1020193220947,-158.68235961787022,0.5803402957755281,-168.04971783167716,-169.61335811792011,NA,NA,5,NA
6,V1,32.22678230256692,31.581168901365036,-154.49038168578303,-151.90294953529016,-2.587432150492873,-167.9627057103185,-169.42326130811716,NA,6,NA,NA
6,V1,32.22678230256692,31.581168901365036,-154.49038168578303,-151.90294953529016,-2.587432150492873,-167.9627057103185,-169.42326130811716,NA,NA,6,NA
7,V1,31.487496934661163,29.267063120130217,-150.25603850827707,-146.9230942305304,-3.3329442777466625,-167.83513221326606,-169.80370598149887,NA,7,NA,NA
7,V1,31.487496934661163,29.267063120130217,-150.25603850827707,-146.9230942305304,-3.3329442777466625,-167.83513221326606,-169.80370598149887,NA,NA,7,NA
8,V1,30.247475572000468,36.695651937403014,-145.3955499236033,-153.44038066001028,8.044830736406965,-167.82813119796955,-169.66744234377586,NA,8,NA,NA
8,V1,30.247475572000468,36.695651937403014,-145.3955499236033,-153.44038066001028,8.044830736406965,-167.82813119796955,-169.66744234377586,NA,NA,8,NA
9,V1,28.43069809029557,34.384092749719386,-142.38828041402354,-148.6396438388922,6.251363424868657,-167.83668024328853,-169.21704939366,NA,9,NA,NA
9,V1,28.43069809029557,34.384092749719386,-142.38828041402354,-148.6396438388922,6.251363424868657,-167.83668024328853,-169.21704939366,NA,NA,9,NA
10,V1,28.8391591812418,35.66059795890444,-141.75923099740137,-150.9209863698324,9.161755372431031,-167.83153673225186,-169.25160793290698,TRUE,10,NA,10
10,V1,28.8391591812418,35.66059795890444,-141.75923099740137,-150.9209863698324,9.161755372431031,-167.83153673225186,-169.25160793290698,TRUE,NA,10,10
