time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
16,IT,7.349862954273763,9.646224312030663,-46.44548078738393,-51.6831443994725,5.237663612088575,-54.56809620540416,-55.50395534468384,TRUE,16,NA,16
16,IT,7.349862954273763,9.646224312030663,-46.44548078738393,-51.6831443994725,5.237663612088575,-54.56809620540416,-55.50395534468384,TRUE,NA,16,16
17,IT,7.053454515446622,7.541927231782143,-46.02062525824204,-50.09418140034723,4.07355614210519,-54.563075043032434,-55.29135689854509,TRUE,17,NA,17
17,IT,7.053454515446622,7.541927231782143,-46.02062525824204,-50.09418140034723,4.07355614210519,-54.563075043032434,-55.29135689854509,TRUE,NA,17,17
18,IT,6.903897155523315,7.765122606028017,-45.72222889582125,-50.803439176970464,5.081210281149211,-54.65688298262527,-55.547503894812124,TRUE,18,NA,18
18,IT,6.903897155523315,7.765122606028017,-45.72222889582125,-50.803439176970464,5.081210281149211,-54.65688298262527,-55.547503894812124,TRUE,NA,18,18
19,IT,6.8048446450794,9.83647944409952,-45.47615366550018,-49.960655165030246,4.484501499530069,-54.59617461036262,-55.16583961724718,TRUE,19,NA,19
19,IT,6.8048446450794,9.83647944409952,-45.47615366550018,-49.960655165030246,4.484501499530069,-54.59617461036262,-55.16583961724718,TRUE,NA,19,19
20,IT,6.65508102063692,9.673976036453682,-45.22830748331532,-49.578642031999614,4.350334548684295,-54.55824118808961,-55.70895553398622,TRUE,20,NA,20
20,IT,6.65508102063692,9.673976036453682,-45.22830748331532,-49.578642031999614,4.350334548684295,-54.55824118808961,-55.70895553398622,TRUE,NA,20,20
21,IT,6.722900999102585,9.50537593403146,-45.13978610341836,-52.61761504085699,7.47782893743863,-54.605508349391286,-55.72964184274849,TRUE,21,NA,21
21,IT,6.722900999102585,9.50537593403146,-45.13978610341836,-52.61761504085699,7.47782893743863,-54.605508349391286,-55.72964184274849,TRUE,NA,21,21
22,IT,6.704794212619713,9.49415698675601,-45.08448235932359,-51.53779242160583,6.453310062282242,-54.600474139462236,-55.32756751931926,TRUE,22,NA,22
22,IT,6.704794212619713,9.49415698675601,-45.08448235932359,-51.53779242160583,6.453310062282242,-54.600474139462236,-55.32756751931926,TRUE,NA,22,22
23,IT,6.664216326270375,8.200018179721008,-45.050922772863046,-52.18873480959932,7.137812036736271,-54.58211129100147,-55.18430912111855,TRUE,23,NA,23
23,IT,6.664216326270375,8.200018179721008,-45.050922772863046,-52.18873480959932,7.137812036736271,-54.58211129100147,-55.18430912111855,TRUE,NA,23,23
24,IT,6.683713612859325,9.559873683339104,-45.11431711390183,-51.9728533672709,6.858536253369067,-54.558703203680366,-55.43345340574147,TRUE,24,NA,24
24,IT,6.683713612859325,9.559873683339104,-45.11431711390183,-51.9728533672709,6.858536253369067,-54.558703203680366,-55.43345340574147,TRUE,NA,24,24
25,IT,6.57641021871798,9.307896023077433,-45.09527301057352,-51.70301320473278,6.6077401941592555,-54.571068905958406,-55.28824546842468,TRUE,25,NA,25
25,IT,6.57641021871798,9.307896023077433,-45.09527301057352,-51.70301320473278,6.6077401941592555,-54.571068905958406,-55.28824546842468,TRUE,NA,25,25
26,IT,6.607356286955289,9.766473681339276,-45.101408135048224,-52.27775604620816,7.176347911159937,-54.554178330555246,-55.319157146895705,TRUE,26,NA,26
26,IT,6.607356286955289,9.766473681339276,-45.101408135048224,-52.27775604620816,7.176347911159937,-54.554178330555246,-55.319157146895705,TRUE,NA,26,26
27,IT,6.601384548750911,10.000675381838818,-45.09817629387583,-52.500209952749955,7.4020336588741245,-54.53160743450704,-55.39384580994074,TRUE,27,NA,27
27,IT,6.601384548750911,10.000675381838818,-45.09817629387583,-52.500209952749955,7.4020336588741245,-54.53160743450704,-55.39384580994074,TRUE,NA,27,27
28,IT,6.638936123605575,9.328517903755994,-45.138628161817394,-52.90565935013399,7.767031188316594,-54.53337894141158,-55.377782276480104,TRUE,28,NA,28
28,IT,6.638936123605575,9.328517903755994,-45.138628161817394,-52.90565935013399,7.767031188316594,-54.53337894141158,-55.377782276480104,TRUE,NA,28,28
29,IT,6.571409970655539,8.989084159002813,-45.299566364993076,-51.898367727126704,6.598801362133628,-54.622919951053916,-55.45519205982636,TRUE,29,NA,29
29,IT,6.571409970655539,8.989084159002813,-45.299566364993076,-51.898367727126704,6.598801362133628,-54.622919951053916,-55.45519205982636,TRUE,NA,29,29
30,IT,6.6041065477441085,8.74950128462516,-45.239271911464336,-52.05741045659599,6.818138545131653,-54.575831331002625,-55.223412060760324,TRUE,30,NA,30
30,IT,6.6041065477441085,8.74950128462516,-45.239271911464336,-52.05741045659599,6.818138545131653,-54.575831331002625,-55.223412060760324,TRUE,NA,30,30
31,IT,6.559213652763749,9.277478013909512,-45.19463962239469,-52.795330884445974,7.600691262051285,-54.56336725939602,-55.44686944269956,TRUE,31,NA,31
31,IT,6.559213652763749,9.277478013909512,-45.19463962239469,-52.795330884445974,7.600691262051285,-54.56336725939602,-55.44686944269956,TRUE,NA,31,31
