item1,value,item2,t1,t2,t
3,0.7990223241860682,6,1,33,0-660 ms
3,0.8020784253930705,7,1,33,0-660 ms
3,0.8200861306462875,8,1,33,0-660 ms
3,0.8506612162046487,9,1,33,0-660 ms
3,0.7068676732221941,10,1,33,0-660 ms
3,0.7954367563149563,11,1,33,0-660 ms
3,0.6574919479050298,12,1,33,0-660 ms
3,0.8320560501130272,13,1,33,0-660 ms
3,0.6944317549836035,14,1,33,0-660 ms
3,0.7073985259933259,15,1,33,0-660 ms
3,0.7815716286107468,16,1,33,0-660 ms
3,0.7657589812822477,17,1,33,0-660 ms
3,0.6538278539152554,18,1,33,0-660 ms
3,0.7493315910492374,19,1,33,0-660 ms
3,0.77851006649121,20,1,33,0-660 ms
3,0.6950818263525728,21,1,33,0-660 ms
3,0.7531541076503422,22,1,33,0-660 ms
3,0.768747304865672,23,1,33,0-660 ms
3,0.7908939612268051,24,1,33,0-660 ms
3,0.8047864616229111,25,1,33,0-660 ms
3,0.6604104588497006,26,1,33,0-660 ms
3,0.6704402446574418,27,1,33,0-660 ms
3,0.7765353692171146,28,1,33,0-660 ms
3,0.7800609280638956,29,1,33,0-660 ms
3,0.7897534423478291,30,1,33,0-660 ms
3,0.7359788149130351,31,1,33,0-660 ms
3,0.8183875141589999,32,1,33,0-660 ms
3,0.7518432199061476,33,1,33,0-660 ms
3,0.8102798835013184,34,1,33,0-660 ms
3,0.77111044271140206,35,1,33,0-660 ms
3,0.7820938705515225,36,1,33,0-660 ms
3,0.7715294186317184,37,1,33,0-660 ms
3,0.7719119073219763,38,1,33,0-660 ms
3,0.6631157232438776,39,1,33,0-660 ms
3,0.6697603623680336,40,1,33,0-660 ms
3,0.7569921600089026,41,1,33,0-660 ms
3,0.687050796381415,42,1,33,0-660 ms
3,0.7610592183153505,43,1,33,0-660 ms
3,0.7330411778940423,44,1,33,0-660 ms
3,0.7539589651674028,45,1,33,0-660 ms
3,0.81783695341455,46,1,33,0-660 ms
3,0.7382167113995719,47,1,33,0-660 ms
3,0.8391998041990997,48,1,33,0-660 ms
3,0.7917075009854825,49,1,33,0-660 ms
3,0.7947529927818441,50,1,33,0-660 ms
3,0.8230494625936398,51,1,33,0-660 ms
3,0.784028264546706,52,1,33,0-660 ms
3,0.7918967804743371,53,1,33,0-660 ms
3,0.7789282957598878,54,1,33,0-660 ms
3,0.770060203759464,55,1,33,0-660 ms
3,0.7905541228372545,56,1,33,0-660 ms
3,0.7736035566819643,57,1,33,0-660 ms
3,0.8231233902920397,58,1,33,0-660 ms
3,0.8092059236071322,59,1,33,0-660 ms
3,0.77056107874704,60,1,33,0-660 ms
4,0.8576363113744561,1,1,33,0-660 ms
4,0.838261943736111,2,1,33,0-660 ms
4,0.8343965883040549,3,1,33,0-660 ms
4,1,4,1,33,0-660 ms
4,0.8682821355712769,5,1,33,0-660 ms
4,0.8425001493982954,6,1,33,0-660 ms
4,0.8126257702939317,7,1,33,0-660 ms
4,0.8530722306956909,8,1,33,0-660 ms
4,0.8295095900426233,9,1,33,0-660 ms
4,0.6588160994689323,10,1,33,0-660 ms
4,0.762124908600841,11,1,33,0-660 ms
4,0.6673397867477223,12,1,33,0-660 ms
4,0.8181004658474763,13,1,33,0-660 ms
4,0.7053496257557182,14,1,33,0-660 ms
4,0.6707542800054965,15,1,33,0-660 ms
4,0.7465644932717087,16,1,33,0-660 ms
4,0.7269481449320268,17,1,33,0-660 ms
4,0.6699963773881018,18,1,33,0-660 ms
4,0.8259417632518132,19,1,33,0-660 ms
4,0.7578756168212752,20,1,33,0-660 ms
4,0.7327739914690032,21,1,33,0-660 ms
4,0.8114361525085316,22,1,33,0-660 ms
4,0.820127553901012,23,1,33,0-660 ms
4,0.8124690285769426,24,1,33,0-660 ms
4,0.812441343303006,25,1,33,0-660 ms
4,0.7312992817556001,26,1,33,0-660 ms
4,0.7052728232746992,27,1,33,0-660 ms
4,0.8250443313114023,28,1,33,0-660 ms
4,0.8289998476928409,29,1,33,0-660 ms
4,0.8174872370308848,30,1,33,0-660 ms
4,0.8177608217106354,31,1,33,0-660 ms
4,0.8011670461547463,32,1,33,0-660 ms
4,0.7820747280663078,33,1,33,0-660 ms
4,0.8521398024344294,34,1,33,0-660 ms
4,0.8289074870251472,35,1,33,0-660 ms
4,0.8095719393794601,36,1,33,0-660 ms
4,0.8011309093811042,37,1,33,0-660 ms
4,0.7927699142310476,38,1,33,0-660 ms
4,0.7327522992224139,39,1,33,0-660 ms
4,0.7156061841391722,40,1,33,0-660 ms
4,0.7801588967760978,41,1,33,0-660 ms
4,0.7418052463737997,42,1,33,0-660 ms
4,0.8082944666929528,43,1,33,0-660 ms
4,0.7042636095353199,44,1,33,0-660 ms
4,0.8229282445869671,45,1,33,0-660 ms
4,0.8155682973260358,46,1,33,0-660 ms
4,0.7891129433272184,47,1,33,0-660 ms
4,0.8211020817222092,48,1,33,0-660 ms
4,0.7643395122841706,49,1,33,0-660 ms
4,0.8006439174567757,50,1,33,0-660 ms
4,0.7977300320598659,51,1,33,0-660 ms
4,0.7417258324561481,52,1,33,0-660 ms
4,0.8220725948176543,53,1,33,0-660 ms
4,0.7489314708307369,54,1,33,0-660 ms
4,0.774818791941025,55,1,33,0-660 ms
